,Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Year
10,Los Angeles Lakers,29.1,2.0,4.0,0.333,2.0,4.0,104.0,110.9,-6.9,93.8,0.295,0.396,0.52,0.473,12.9,23.7,0.229,0.53,12.1,80.3,0.212,2021
11,New York Knicks,27.3,1.0,4.0,0.2,1.0,4.0,103.5,111.0,-7.5,93.7,0.252,0.352,0.505,0.458,11.3,24.6,0.206,0.519,10.4,81.2,0.189,2021
12,Memphis Grizzlies,24.0,1.0,4.0,0.2,1.0,4.0,115.6,124.0,-8.4,99.5,0.216,0.335,0.556,0.523,9.1,23.8,0.172,0.586,12.2,75.4,0.257,2021
13,Boston Celtics,25.0,1.0,4.0,0.2,1.0,4.0,117.1,128.7,-11.6,95.8,0.311,0.415,0.56,0.508,11.5,28.8,0.256,0.582,10.6,73.5,0.296,2021
14,Washington Wizards,27.4,1.0,4.0,0.2,1.0,4.0,107.6,121.3,-13.7,102.2,0.327,0.273,0.543,0.498,11.7,23.1,0.246,0.575,10.3,77.4,0.234,2021
15,Miami Heat,28.8,0.0,4.0,0.0,0.0,4.0,96.6,116.8,-20.2,98.9,0.227,0.401,0.499,0.462,12.5,17.1,0.174,0.538,12.6,68.6,0.177,2021
0,Golden State Warriors,28.2,16.0,6.0,0.727,14.0,8.0,115.2,110.0,5.2,97.1,0.23,0.433,0.59,0.561,13.3,23.6,0.176,0.522,12.7,77.5,0.205,2022
1,Miami Heat,28.3,11.0,7.0,0.611,11.0,7.0,110.6,106.6,4.0,94.2,0.253,0.408,0.55,0.509,12.0,23.3,0.203,0.52,14.9,79.4,0.251,2022
2,Boston Celtics,26.3,14.0,10.0,0.583,15.0,9.0,110.7,107.0,3.7,95.3,0.283,0.448,0.574,0.533,13.8,21.9,0.226,0.501,12.3,76.9,0.181,2022
3,Memphis Grizzlies,23.9,6.0,6.0,0.5,7.0,5.0,110.2,107.8,2.4,102.1,0.297,0.392,0.545,0.507,11.9,25.8,0.218,0.53,15.6,77.7,0.211,2022
4,Milwaukee Bucks,29.5,7.0,5.0,0.583,7.0,5.0,104.4,102.8,1.6,98.5,0.236,0.367,0.529,0.498,12.4,21.6,0.172,0.499,11.9,83.8,0.168,2022
5,Dallas Mavericks,27.1,9.0,9.0,0.5,9.0,9.0,114.9,114.1,0.8,92.6,0.289,0.513,0.584,0.546,10.1,15.7,0.223,0.539,12.8,74.7,0.214,2022
6,Philadelphia 76ers,27.4,6.0,6.0,0.5,6.0,6.0,112.3,112.0,0.3,92.2,0.29,0.426,0.592,0.545,14.3,20.4,0.246,0.512,11.0,75.8,0.207,2022
7,Phoenix Suns,27.8,7.0,6.0,0.538,6.0,7.0,115.6,116.7,-1.1,93.1,0.229,0.328,0.591,0.557,12.7,24.2,0.187,0.539,12.2,73.8,0.237,2022
8,New Orleans Pelicans,25.5,2.0,4.0,0.333,3.0,3.0,117.6,119.2,-1.6,93.4,0.342,0.312,0.566,0.518,13.0,35.0,0.267,0.575,10.7,80.3,0.193,2022
9,Brooklyn Nets,29.5,0.0,4.0,0.0,1.0,3.0,116.3,121.1,-4.8,93.8,0.33,0.349,0.61,0.577,14.6,23.0,0.244,0.562,12.9,69.9,0.223,2022
10,Minnesota Timberwolves,24.8,2.0,4.0,0.333,2.0,4.0,106.4,111.8,-5.4,102.6,0.341,0.435,0.579,0.527,15.8,17.1,0.276,0.519,13.6,72.5,0.268,2022
11,Utah Jazz,29.1,2.0,4.0,0.333,2.0,4.0,108.8,115.0,-6.2,91.0,0.335,0.378,0.546,0.495,11.5,22.8,0.264,0.54,8.7,85.5,0.217,2022
12,Denver Nuggets,28.1,1.0,4.0,0.2,1.0,4.0,113.6,121.8,-8.2,96.9,0.304,0.379,0.586,0.543,14.9,28.0,0.242,0.608,12.2,81.4,0.23,2022
13,Toronto Raptors,25.3,2.0,4.0,0.333,2.0,4.0,111.2,120.2,-9.0,91.2,0.244,0.382,0.542,0.503,9.5,23.0,0.194,0.576,14.0,76.7,0.275,2022
14,Atlanta Hawks,25.5,1.0,4.0,0.2,1.0,4.0,102.3,114.9,-12.6,95.2,0.281,0.448,0.554,0.513,15.7,21.3,0.22,0.542,12.2,79.0,0.194,2022
15,Chicago Bulls,26.4,1.0,4.0,0.2,1.0,4.0,94.9,109.4,-14.5,100.3,0.16,0.408,0.493,0.461,11.9,15.8,0.133,0.553,13.9,81.4,0.17,2022
0,Denver Nuggets,26.8,16.0,4.0,0.8,15.0,5.0,119.5,110.8,8.7,94.4,0.257,0.349,0.593,0.557,10.8,25.2,0.206,0.515,10.4,80.7,0.198,2023
1,Boston Celtics,27.7,11.0,9.0,0.55,12.0,8.0,117.2,113.7,3.5,95.0,0.234,0.452,0.594,0.56,11.6,23.0,0.189,0.527,11.4,77.5,0.185,2023
2,Los Angeles Lakers,27.8,8.0,8.0,0.5,9.0,7.0,113.7,111.3,2.4,98.1,0.285,0.347,0.573,0.529,10.9,21.1,0.23,0.513,11.4,74.0,0.148,2023
3,Miami Heat,29.0,13.0,10.0,0.565,13.0,10.0,114.1,112.5,1.6,94.5,0.228,0.388,0.567,0.531,10.9,21.5,0.185,0.534,12.6,74.9,0.213,2023
4,New York Knicks,24.7,6.0,5.0,0.545,6.0,5.0,108.9,108.5,0.4,91.9,0.329,0.402,0.537,0.492,13.6,30.8,0.246,0.502,12.2,76.8,0.206,2023
5,Golden State Warriors,28.6,6.0,7.0,0.462,6.0,7.0,111.9,112.1,-0.2,101.0,0.21,0.454,0.553,0.525,12.3,26.6,0.158,0.511,11.0,75.3,0.222,2023
6,Philadelphia 76ers,28.3,7.0,4.0,0.636,5.0,6.0,111.2,112.8,-1.6,91.4,0.227,0.404,0.555,0.51,11.8,23.5,0.201,0.54,11.4,81.4,0.197,2023
7,Sacramento Kings,25.3,3.0,4.0,0.429,3.0,4.0,110.7,112.8,-2.1,102.7,0.269,0.416,0.532,0.493,11.7,28.9,0.205,0.527,12.3,73.8,0.205,2023
8,Phoenix Suns,29.1,6.0,5.0,0.545,5.0,6.0,117.0,119.4,-2.4,97.6,0.269,0.297,0.588,0.55,11.1,22.9,0.215,0.543,11.1,73.4,0.231,2023
9,Milwaukee Bucks,30.8,1.0,4.0,0.2,2.0,3.0,114.0,118.9,-4.9,102.1,0.231,0.445,0.582,0.559,12.4,22.5,0.164,0.605,13.0,82.2,0.171,2023
10,Atlanta Hawks,25.2,2.0,4.0,0.333,2.0,4.0,115.0,120.3,-5.3,100.7,0.176,0.388,0.558,0.529,11.0,25.1,0.144,0.6,11.6,78.5,0.144,2023
11,Cleveland Cavaliers,25.0,1.0,4.0,0.2,2.0,3.0,103.4,109.3,-5.9,91.1,0.237,0.39,0.544,0.513,15.4,23.2,0.176,0.48,13.8,65.1,0.229,2023
12,Los Angeles Clippers,30.2,1.0,4.0,0.2,2.0,3.0,117.1,123.6,-6.5,98.7,0.298,0.381,0.577,0.529,12.3,26.8,0.246,0.57,10.9,72.7,0.268,2023
13,Memphis Grizzlies,24.1,2.0,4.0,0.333,2.0,4.0,104.0,111.4,-7.4,99.0,0.201,0.404,0.504,0.465,11.1,25.6,0.168,0.523,12.9,74.6,0.191,2023
14,Minnesota Timberwolves,27.4,1.0,4.0,0.2,1.0,4.0,109.7,118.9,-9.2,94.1,0.293,0.39,0.565,0.525,12.1,19.5,0.225,0.552,11.0,75.1,0.196,2023
15,Brooklyn Nets,27.3,0.0,4.0,0.0,1.0,3.0,103.1,115.6,-12.5,89.7,0.236,0.447,0.542,0.513,12.6,14.0,0.172,0.529,12.6,68.8,0.155,2023
