,Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Year
6,Indiana Pacers,27.1,10.0,9.0,0.526,9.0,10.0,103.7,104.8,-1.1,88.3,0.314,0.258,0.54,0.5,13.8,21.1,0.228,0.493,13.6,77.0,0.218,2014
7,Oklahoma City Thunder,26.6,10.0,9.0,0.526,9.0,10.0,108.1,109.2,-1.1,92.3,0.327,0.287,0.551,0.496,14.0,27.1,0.268,0.485,10.5,74.2,0.212,2014
8,Brooklyn Nets,30.7,5.0,7.0,0.417,5.0,7.0,110.5,112.0,-1.5,86.4,0.33,0.302,0.555,0.514,12.5,25.1,0.243,0.516,13.3,77.0,0.306,2014
9,Toronto Raptors,25.2,3.0,4.0,0.429,3.0,4.0,108.2,110.0,-1.8,88.8,0.391,0.283,0.553,0.486,15.0,26.8,0.326,0.506,11.8,77.0,0.291,2014
10,Dallas Mavericks,31.3,3.0,4.0,0.429,3.0,4.0,110.0,112.1,-2.1,92.0,0.217,0.259,0.532,0.5,10.7,26.4,0.166,0.542,13.4,76.6,0.245,2014
11,Golden State Warriors,26.2,3.0,4.0,0.429,3.0,4.0,110.2,114.8,-4.6,96.6,0.335,0.316,0.558,0.518,15.3,30.8,0.244,0.529,12.9,72.1,0.29,2014
12,Chicago Bulls,28.6,1.0,4.0,0.2,2.0,3.0,103.0,108.3,-5.3,85.6,0.29,0.244,0.508,0.463,13.0,27.9,0.219,0.479,10.2,72.2,0.225,2014
13,Memphis Grizzlies,29.7,3.0,4.0,0.429,2.0,5.0,102.8,108.5,-5.7,88.8,0.293,0.173,0.486,0.442,10.1,27.0,0.214,0.483,14.1,69.0,0.263,2014
14,Portland Trail Blazers,25.8,5.0,6.0,0.455,3.0,8.0,107.2,113.6,-6.4,94.6,0.281,0.26,0.529,0.482,12.3,26.1,0.224,0.508,10.4,70.6,0.208,2014
15,Charlotte Hornets,25.5,0.0,4.0,0.0,1.0,3.0,101.5,112.3,-10.8,90.6,0.312,0.282,0.537,0.5,14.9,20.8,0.223,0.539,10.7,85.7,0.26,2014
0,Golden State Warriors,26.4,16.0,5.0,0.762,16.0,5.0,108.7,100.5,8.2,93.7,0.263,0.362,0.55,0.521,13.5,26.2,0.184,0.458,13.1,75.3,0.228,2015
1,Cleveland Cavaliers,26.6,14.0,6.0,0.7,13.0,7.0,107.4,103.1,4.3,90.7,0.325,0.347,0.524,0.479,12.0,28.1,0.24,0.467,11.1,77.5,0.209,2015
2,Washington Wizards,27.5,6.0,4.0,0.6,6.0,4.0,105.8,101.7,4.1,94.6,0.28,0.276,0.533,0.497,13.3,26.8,0.202,0.47,12.2,77.2,0.177,2015
3,Chicago Bulls,28.7,6.0,6.0,0.5,7.0,5.0,104.4,100.7,3.7,90.4,0.257,0.294,0.515,0.474,13.1,26.8,0.199,0.452,11.8,74.3,0.198,2015
4,Los Angeles Clippers,28.8,7.0,7.0,0.5,8.0,6.0,108.4,107.1,1.3,98.7,0.361,0.3,0.548,0.515,11.8,21.3,0.241,0.505,12.5,75.0,0.25,2015
5,San Antonio Spurs,30.3,3.0,4.0,0.429,4.0,3.0,107.8,107.3,0.5,94.5,0.298,0.307,0.536,0.505,11.2,24.8,0.203,0.509,11.5,78.6,0.224,2015
6,Atlanta Hawks,27.7,8.0,8.0,0.5,8.0,8.0,103.4,103.6,-0.2,93.5,0.227,0.335,0.521,0.484,11.9,21.6,0.178,0.486,12.9,74.7,0.184,2015
7,Memphis Grizzlies,30.3,6.0,5.0,0.545,5.0,6.0,103.0,104.4,-1.4,91.9,0.27,0.166,0.503,0.451,10.5,23.7,0.225,0.501,14.1,77.2,0.192,2015
8,Houston Rockets,28.8,9.0,8.0,0.529,7.0,10.0,106.6,109.0,-2.4,101.5,0.44,0.33,0.544,0.505,13.5,23.8,0.288,0.514,12.5,74.4,0.21,2015
9,Dallas Mavericks,30.4,1.0,4.0,0.2,2.0,3.0,107.9,112.0,-4.1,101.9,0.274,0.265,0.534,0.493,12.1,28.1,0.209,0.52,12.4,75.1,0.291,2015
10,Brooklyn Nets,28.6,2.0,4.0,0.333,2.0,4.0,100.8,106.5,-5.7,94.0,0.251,0.289,0.522,0.486,13.4,21.0,0.186,0.505,12.3,77.8,0.161,2015
11,Portland Trail Blazers,25.9,1.0,4.0,0.2,1.0,4.0,101.9,109.3,-7.4,92.0,0.258,0.313,0.504,0.455,11.1,22.2,0.213,0.465,7.9,78.1,0.254,2015
12,New Orleans Pelicans,25.1,0.0,4.0,0.0,1.0,3.0,106.8,115.2,-8.4,92.0,0.264,0.252,0.536,0.491,12.6,24.9,0.214,0.516,11.0,69.1,0.211,2015
13,Boston Celtics,24.6,0.0,4.0,0.0,1.0,3.0,101.5,111.5,-10.0,93.3,0.308,0.26,0.504,0.453,12.6,22.2,0.239,0.498,11.8,71.9,0.303,2015
14,Milwaukee Bucks,24.8,2.0,4.0,0.333,1.0,5.0,91.8,104.6,-12.8,93.1,0.236,0.206,0.455,0.419,11.9,23.9,0.166,0.504,15.7,73.5,0.2,2015
15,Toronto Raptors,25.9,0.0,4.0,0.0,1.0,3.0,99.3,113.7,-14.4,94.5,0.241,0.283,0.493,0.459,10.9,19.0,0.173,0.547,13.3,73.0,0.25,2015
0,San Antonio Spurs,30.7,6.0,4.0,0.6,8.0,2.0,111.0,101.1,9.9,91.9,0.248,0.232,0.557,0.519,11.2,20.3,0.199,0.467,14.2,71.7,0.208,2016
1,Cleveland Cavaliers,28.0,16.0,5.0,0.762,16.0,5.0,115.5,106.0,9.5,90.7,0.267,0.37,0.573,0.544,12.0,26.8,0.193,0.51,12.8,79.0,0.189,2016
2,Oklahoma City Thunder,25.6,11.0,7.0,0.611,12.0,6.0,111.8,106.2,5.6,95.2,0.326,0.295,0.551,0.501,12.6,29.6,0.256,0.499,11.5,78.7,0.191,2016
3,Golden State Warriors,27.4,15.0,9.0,0.625,15.0,9.0,110.5,106.1,4.4,97.0,0.272,0.379,0.562,0.529,12.7,23.9,0.2,0.481,13.1,72.4,0.226,2016
4,Miami Heat,28.7,7.0,7.0,0.5,9.0,5.0,105.1,101.7,3.4,90.2,0.264,0.238,0.539,0.5,12.8,23.0,0.202,0.451,10.4,80.5,0.241,2016
5,Indiana Pacers,26.4,3.0,4.0,0.429,4.0,3.0,105.5,103.9,1.6,88.8,0.319,0.284,0.549,0.495,14.5,23.5,0.261,0.437,12.8,67.2,0.246,2016
6,Los Angeles Clippers,29.3,2.0,4.0,0.333,3.0,3.0,104.9,103.9,1.0,93.7,0.345,0.229,0.502,0.471,9.0,23.5,0.216,0.467,12.0,71.3,0.193,2016
7,Atlanta Hawks,28.3,4.0,6.0,0.4,5.0,5.0,103.5,104.5,-1.0,95.7,0.242,0.375,0.533,0.494,13.3,20.7,0.192,0.487,12.7,75.0,0.175,2016
8,Portland Trail Blazers,24.8,5.0,6.0,0.455,5.0,6.0,108.1,110.7,-2.6,96.2,0.287,0.351,0.523,0.483,11.5,26.6,0.212,0.507,10.1,75.5,0.22,2016
9,Toronto Raptors,26.1,10.0,10.0,0.5,7.0,13.0,102.8,107.5,-4.7,89.4,0.301,0.282,0.507,0.463,12.4,25.1,0.222,0.514,13.6,77.3,0.237,2016
10,Boston Celtics,25.0,2.0,4.0,0.333,2.0,4.0,93.8,100.5,-6.7,98.3,0.235,0.352,0.475,0.432,12.9,21.5,0.184,0.481,13.3,80.6,0.191,2016
11,Charlotte Hornets,26.9,3.0,4.0,0.429,1.0,6.0,99.2,109.0,-9.8,91.0,0.309,0.231,0.494,0.432,9.4,15.9,0.259,0.517,11.8,75.9,0.186,2016
12,Detroit Pistons,24.1,0.0,4.0,0.0,1.0,3.0,109.4,119.2,-9.8,86.8,0.292,0.309,0.559,0.537,11.0,18.4,0.189,0.546,8.6,75.5,0.147,2016
13,Houston Rockets,28.5,1.0,4.0,0.2,0.0,5.0,92.7,111.8,-19.1,98.4,0.32,0.332,0.467,0.43,16.3,29.9,0.206,0.552,12.9,77.1,0.199,2016
14,Dallas Mavericks,30.4,1.0,4.0,0.2,0.0,5.0,102.1,122.0,-19.9,91.8,0.298,0.264,0.511,0.474,11.4,21.5,0.207,0.537,12.0,65.5,0.278,2016
15,Memphis Grizzlies,30.8,0.0,4.0,0.0,0.0,4.0,90.9,115.6,-24.7,89.1,0.215,0.197,0.455,0.423,14.8,28.8,0.151,0.552,13.7,77.3,0.246,2016
0,Golden State Warriors,28.3,16.0,1.0,0.941,14.0,3.0,119.0,105.5,13.5,100.3,0.292,0.378,0.608,0.567,12.2,22.4,0.238,0.487,12.3,76.6,0.212,2017
1,Cleveland Cavaliers,29.3,13.0,5.0,0.722,13.0,5.0,120.3,112.1,8.2,96.6,0.316,0.408,0.614,0.579,12.1,23.6,0.242,0.521,11.9,76.1,0.189,2017
2,Houston Rockets,28.1,6.0,5.0,0.545,6.0,5.0,110.7,109.5,1.2,96.4,0.304,0.452,0.559,0.514,12.7,22.7,0.24,0.502,11.1,71.7,0.187,2017
3,San Antonio Spurs,29.5,8.0,8.0,0.5,9.0,7.0,113.4,112.3,1.1,93.2,0.277,0.282,0.551,0.512,11.6,29.1,0.214,0.539,13.1,78.5,0.208,2017
4,Washington Wizards,26.1,7.0,6.0,0.538,7.0,6.0,110.9,110.9,0.0,96.7,0.281,0.302,0.549,0.505,12.3,26.6,0.223,0.525,13.3,76.2,0.244,2017
5,Milwaukee Bucks,25.0,2.0,4.0,0.333,3.0,3.0,103.0,103.7,-0.7,90.5,0.267,0.277,0.533,0.503,13.2,19.1,0.186,0.494,14.4,80.6,0.279,2017
6,Atlanta Hawks,27.2,2.0,4.0,0.333,3.0,3.0,107.3,108.5,-1.2,98.4,0.343,0.323,0.542,0.493,14.1,26.4,0.262,0.502,11.8,77.3,0.227,2017
7,Los Angeles Clippers,30.9,3.0,4.0,0.429,3.0,4.0,108.8,110.0,-1.2,89.8,0.312,0.304,0.558,0.526,12.2,19.9,0.217,0.542,12.4,82.1,0.223,2017
8,Boston Celtics,25.9,9.0,9.0,0.5,7.0,11.0,111.4,114.5,-3.1,93.9,0.242,0.41,0.566,0.532,12.6,22.2,0.187,0.531,13.1,71.5,0.227,2017
9,Indiana Pacers,26.4,0.0,4.0,0.0,2.0,2.0,114.7,118.9,-4.2,94.8,0.247,0.33,0.564,0.53,12.1,28.3,0.19,0.565,11.9,75.2,0.233,2017
10,Utah Jazz,27.8,4.0,7.0,0.364,4.0,7.0,106.2,111.3,-5.1,92.1,0.298,0.331,0.552,0.515,12.0,16.7,0.218,0.533,11.4,81.3,0.224,2017
11,Toronto Raptors,26.9,4.0,6.0,0.4,3.0,7.0,103.8,109.9,-6.1,93.1,0.283,0.296,0.541,0.493,12.6,17.3,0.23,0.539,13.2,81.3,0.222,2017
12,Chicago Bulls,26.6,2.0,4.0,0.333,2.0,4.0,104.8,112.2,-7.4,92.1,0.24,0.285,0.529,0.483,14.4,29.6,0.204,0.534,11.8,78.5,0.163,2017
13,Oklahoma City Thunder,25.3,1.0,4.0,0.2,1.0,4.0,105.7,114.4,-8.7,98.6,0.309,0.309,0.525,0.49,11.4,26.0,0.213,0.513,13.1,74.8,0.32,2017
14,Memphis Grizzlies,29.7,2.0,4.0,0.333,1.0,5.0,110.3,119.8,-9.5,85.8,0.263,0.313,0.559,0.51,11.6,20.3,0.229,0.545,11.4,73.9,0.266,2017
15,Portland Trail Blazers,24.8,0.0,4.0,0.0,0.0,4.0,99.3,116.9,-17.6,102.3,0.271,0.38,0.507,0.458,13.2,20.6,0.218,0.556,11.1,81.0,0.258,2017
0,Golden State Warriors,28.4,16.0,5.0,0.762,17.0,4.0,113.9,103.6,10.3,96.5,0.237,0.365,0.581,0.545,11.9,21.8,0.195,0.481,12.3,77.6,0.186,2018
1,Indiana Pacers,26.2,3.0,4.0,0.429,5.0,2.0,110.9,104.6,6.3,90.7,0.241,0.339,0.567,0.542,12.9,21.6,0.171,0.503,14.3,77.7,0.238,2018
2,Philadelphia 76ers,26.5,5.0,5.0,0.5,6.0,4.0,110.4,106.5,3.9,97.5,0.32,0.331,0.539,0.493,12.6,29.1,0.243,0.514,12.7,80.8,0.232,2018
3,Houston Rockets,29.8,11.0,6.0,0.647,10.0,7.0,109.6,107.7,1.9,95.7,0.261,0.466,0.552,0.514,11.3,20.0,0.201,0.53,13.2,80.1,0.188,2018
4,Boston Celtics,24.8,11.0,8.0,0.579,10.0,9.0,107.7,107.0,0.7,93.1,0.283,0.367,0.541,0.5,11.1,20.4,0.217,0.518,12.9,79.5,0.202,2018
5,Milwaukee Bucks,25.3,3.0,4.0,0.429,3.0,4.0,108.8,109.4,-0.6,92.3,0.254,0.328,0.585,0.561,13.1,14.7,0.179,0.503,12.1,75.5,0.219,2018
6,New Orleans Pelicans,26.8,5.0,4.0,0.556,4.0,5.0,107.1,107.8,-0.7,102.7,0.204,0.301,0.562,0.533,12.9,17.7,0.16,0.514,12.0,78.8,0.169,2018
7,Cleveland Cavaliers,30.3,12.0,10.0,0.545,10.0,12.0,109.4,111.2,-1.8,91.6,0.282,0.37,0.55,0.512,12.1,23.5,0.212,0.529,11.5,79.4,0.195,2018
8,Washington Wizards,27.0,2.0,4.0,0.333,3.0,3.0,110.3,112.3,-2.0,97.2,0.274,0.256,0.561,0.513,12.4,21.2,0.233,0.539,13.1,78.1,0.239,2018
9,Utah Jazz,25.6,5.0,6.0,0.455,5.0,6.0,104.7,106.9,-2.2,97.8,0.284,0.361,0.549,0.52,14.3,20.8,0.195,0.505,11.6,80.8,0.196,2018
10,Oklahoma City Thunder,27.9,2.0,4.0,0.333,2.0,4.0,103.5,107.9,-4.4,97.8,0.245,0.333,0.528,0.49,12.7,20.8,0.189,0.521,13.7,75.4,0.212,2018
11,Toronto Raptors,26.2,4.0,6.0,0.4,4.0,6.0,112.0,116.6,-4.6,94.8,0.29,0.324,0.578,0.536,13.1,23.2,0.232,0.541,10.5,79.1,0.217,2018
12,Portland Trail Blazers,25.6,0.0,4.0,0.0,1.0,3.0,106.9,116.0,-9.1,98.7,0.173,0.354,0.539,0.512,12.9,23.9,0.135,0.582,13.0,81.1,0.203,2018
13,Minnesota Timberwolves,27.6,1.0,4.0,0.2,1.0,4.0,107.0,116.2,-9.2,95.0,0.276,0.264,0.548,0.515,12.0,20.1,0.201,0.531,7.9,80.3,0.193,2018
14,San Antonio Spurs,30.2,1.0,4.0,0.2,1.0,4.0,103.7,113.1,-9.4,93.3,0.274,0.337,0.515,0.463,10.5,18.5,0.229,0.535,12.9,73.7,0.205,2018
15,Miami Heat,27.5,1.0,4.0,0.2,1.0,4.0,103.0,113.7,-10.7,100.4,0.345,0.333,0.542,0.507,14.4,20.7,0.234,0.514,13.6,70.4,0.279,2018
0,Milwaukee Bucks,27.6,10.0,5.0,0.667,11.0,4.0,111.1,102.5,8.6,100.1,0.317,0.431,0.56,0.523,11.3,21.5,0.231,0.474,10.8,83.0,0.207,2019
1,Toronto Raptors,28.4,16.0,8.0,0.667,16.0,8.0,110.0,104.4,5.6,96.0,0.275,0.406,0.561,0.514,11.2,18.9,0.228,0.491,14.0,77.7,0.233,2019
2,Golden State Warriors,29.1,14.0,8.0,0.636,13.0,9.0,115.3,111.9,3.4,98.1,0.282,0.38,0.589,0.548,13.3,24.8,0.23,0.522,13.1,76.6,0.243,2019
3,Houston Rockets,29.5,6.0,5.0,0.545,7.0,4.0,110.9,107.6,3.3,97.0,0.29,0.51,0.574,0.537,14.3,23.1,0.221,0.499,12.9,75.0,0.217,2019
4,Philadelphia 76ers,27.2,7.0,5.0,0.583,7.0,5.0,109.9,106.8,3.1,98.9,0.301,0.331,0.559,0.514,14.4,27.2,0.238,0.488,11.4,79.5,0.246,2019
5,Denver Nuggets,25.4,7.0,7.0,0.5,8.0,6.0,114.4,112.5,1.9,92.6,0.279,0.308,0.538,0.495,8.7,27.3,0.218,0.497,8.8,74.8,0.212,2019
6,Boston Celtics,26.2,5.0,4.0,0.556,4.0,5.0,102.2,103.6,-1.4,99.9,0.288,0.392,0.539,0.491,13.5,16.6,0.231,0.491,10.9,82.4,0.199,2019
7,Portland Trail Blazers,26.6,8.0,8.0,0.5,7.0,9.0,110.6,112.0,-1.4,96.0,0.274,0.363,0.541,0.501,11.3,24.4,0.21,0.503,11.3,72.4,0.234,2019
8,San Antonio Spurs,28.3,3.0,4.0,0.429,3.0,4.0,112.4,114.5,-2.1,91.9,0.27,0.233,0.542,0.503,8.1,24.2,0.208,0.516,8.7,76.8,0.177,2019
9,Oklahoma City Thunder,26.2,1.0,4.0,0.2,2.0,3.0,105.4,111.2,-5.8,99.9,0.295,0.365,0.541,0.5,13.5,22.7,0.223,0.519,12.7,75.7,0.209,2019
10,Indiana Pacers,27.7,0.0,4.0,0.0,1.0,3.0,96.3,104.2,-7.9,95.3,0.246,0.356,0.496,0.461,11.5,16.6,0.177,0.517,15.2,81.1,0.206,2019
11,Utah Jazz,27.0,1.0,4.0,0.2,1.0,4.0,99.2,108.5,-9.3,98.6,0.296,0.414,0.501,0.455,13.5,24.9,0.222,0.526,13.8,80.5,0.219,2019
12,Los Angeles Clippers,26.7,2.0,4.0,0.333,1.0,5.0,111.5,121.0,-9.5,102.9,0.323,0.355,0.563,0.511,12.8,21.9,0.264,0.574,12.5,74.5,0.251,2019
13,Brooklyn Nets,25.3,1.0,4.0,0.2,1.0,4.0,106.7,117.3,-10.6,104.4,0.319,0.372,0.534,0.48,12.0,22.6,0.258,0.542,13.3,67.9,0.23,2019
14,Orlando Magic,25.9,1.0,4.0,0.2,1.0,4.0,96.2,111.2,-15.0,95.7,0.267,0.419,0.496,0.451,14.4,20.3,0.207,0.55,11.8,82.8,0.161,2019
15,Detroit Pistons,26.5,0.0,4.0,0.0,0.0,4.0,96.8,120.2,-23.4,101.3,0.171,0.344,0.471,0.444,9.2,19.8,0.124,0.583,12.8,76.4,0.246,2019
0,Los Angeles Lakers,29.3,16.0,5.0,0.762,15.0,6.0,115.9,108.9,7.0,97.3,0.293,0.407,0.595,0.561,14.0,26.1,0.222,0.525,13.6,81.9,0.251,2020
1,Boston Celtics,25.0,10.0,7.0,0.588,11.0,6.0,111.3,106.3,5.0,96.4,0.285,0.429,0.572,0.527,12.7,21.0,0.233,0.49,11.5,80.5,0.234,2020
2,Los Angeles Clippers,27.9,7.0,6.0,0.538,8.0,5.0,115.4,111.1,4.3,98.0,0.291,0.38,0.585,0.544,11.8,21.5,0.232,0.542,12.6,80.6,0.209,2020
3,Toronto Raptors,27.1,7.0,4.0,0.636,7.0,4.0,108.3,104.2,4.1,99.1,0.24,0.455,0.559,0.525,11.8,17.6,0.187,0.507,13.7,82.2,0.211,2020
4,Utah Jazz,26.8,3.0,4.0,0.429,4.0,3.0,122.2,118.5,3.7,91.5,0.284,0.455,0.616,0.583,11.5,22.8,0.22,0.554,11.4,75.1,0.169,2020
5,Miami Heat,27.1,14.0,7.0,0.667,12.0,9.0,113.5,111.5,2.0,95.9,0.322,0.433,0.587,0.537,12.3,19.1,0.266,0.529,13.0,77.3,0.215,2020
6,Milwaukee Bucks,29.8,5.0,5.0,0.5,5.0,5.0,109.7,108.5,1.2,100.3,0.279,0.426,0.568,0.537,13.2,20.5,0.202,0.527,13.5,83.8,0.241,2020
7,Houston Rockets,30.2,5.0,7.0,0.417,6.0,6.0,108.3,107.5,0.8,98.6,0.235,0.545,0.569,0.535,12.4,14.6,0.186,0.534,15.4,78.0,0.209,2020
8,Denver Nuggets,25.2,9.0,10.0,0.474,8.0,11.0,113.6,116.0,-2.4,94.1,0.26,0.392,0.584,0.545,13.2,23.0,0.212,0.551,12.7,76.8,0.233,2020
9,Oklahoma City Thunder,25.7,3.0,4.0,0.429,2.0,5.0,102.4,108.7,-6.3,100.1,0.281,0.428,0.542,0.5,15.0,20.1,0.217,0.535,11.5,84.6,0.146,2020
10,Orlando Magic,27.0,1.0,4.0,0.2,1.0,4.0,102.5,111.3,-8.8,104.4,0.237,0.449,0.547,0.505,13.0,13.5,0.199,0.572,14.5,82.0,0.177,2020
11,Dallas Mavericks,26.2,2.0,4.0,0.333,1.0,5.0,112.7,122.0,-9.3,102.1,0.297,0.421,0.58,0.549,11.2,16.9,0.215,0.579,10.5,80.4,0.248,2020
12,Portland Trail Blazers,26.6,1.0,4.0,0.2,1.0,4.0,104.6,115.0,-10.4,101.9,0.283,0.347,0.537,0.492,13.9,21.4,0.224,0.552,13.0,72.7,0.222,2020
13,Indiana Pacers,26.2,0.0,4.0,0.0,1.0,3.0,104.2,115.1,-10.9,96.7,0.252,0.399,0.565,0.53,14.6,13.7,0.196,0.545,13.2,76.9,0.288,2020
14,Philadelphia 76ers,26.4,0.0,4.0,0.0,1.0,3.0,105.5,117.9,-12.4,95.2,0.381,0.36,0.512,0.443,10.9,26.8,0.31,0.523,9.7,77.6,0.255,2020
15,Brooklyn Nets,25.4,0.0,4.0,0.0,0.0,4.0,102.2,122.0,-19.8,103.5,0.268,0.504,0.518,0.482,12.4,18.1,0.195,0.592,10.6,79.1,0.203,2020
0,Philadelphia 76ers,27.3,7.0,5.0,0.583,9.0,3.0,116.0,108.5,7.5,100.2,0.342,0.331,0.589,0.561,11.5,21.3,0.234,0.502,11.2,78.8,0.235,2021
1,Brooklyn Nets,28.7,7.0,5.0,0.583,8.0,4.0,116.1,109.6,6.5,96.1,0.235,0.413,0.592,0.551,10.9,19.7,0.204,0.502,11.6,75.0,0.19,2021
2,Milwaukee Bucks,29.2,16.0,7.0,0.696,15.0,8.0,112.9,107.6,5.3,96.9,0.228,0.384,0.55,0.524,11.3,27.8,0.164,0.523,12.2,81.6,0.16,2021
3,Phoenix Suns,26.6,14.0,8.0,0.636,14.0,8.0,114.7,110.0,4.7,95.1,0.219,0.35,0.585,0.547,11.3,19.6,0.188,0.507,10.9,76.1,0.194,2021
4,Los Angeles Clippers,29.3,10.0,9.0,0.526,12.0,7.0,120.2,115.9,4.3,92.8,0.29,0.444,0.604,0.562,10.4,21.5,0.238,0.543,11.1,76.9,0.173,2021
5,Utah Jazz,28.6,6.0,5.0,0.545,5.0,6.0,121.4,122.3,-0.9,96.3,0.288,0.518,0.616,0.579,12.4,23.7,0.231,0.562,9.6,76.7,0.208,2021
6,Portland Trail Blazers,28.5,2.0,4.0,0.333,3.0,3.0,121.6,122.9,-1.3,95.0,0.257,0.443,0.608,0.567,10.7,22.2,0.219,0.555,9.9,73.5,0.216,2021
7,Atlanta Hawks,25.6,10.0,8.0,0.556,8.0,10.0,109.8,111.3,-1.5,96.8,0.241,0.394,0.554,0.516,11.5,20.9,0.192,0.52,11.6,75.0,0.197,2021
8,Dallas Mavericks,26.2,3.0,4.0,0.429,2.0,5.0,115.5,121.1,-5.6,91.8,0.233,0.407,0.559,0.534,10.4,23.7,0.164,0.571,10.9,77.4,0.246,2021
9,Denver Nuggets,26.3,4.0,6.0,0.4,3.0,7.0,116.8,122.4,-5.6,96.3,0.227,0.418,0.566,0.536,9.9,25.1,0.172,0.576,10.6,79.6,0.223,2021
